comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,a759bdbe38196317f027f938832cd25053d4438e048b415f734843dd1eff420e,repair,3.061129,entropy,32,80,8,10,640
,feb6dade59407009639b23602721d8478122c90af6f890f81345ab9273167e21,repair,2.5546818,entropy,32,80,8,10,640
,10bb201289b258f53bc1fa16e4625bb495a847f96dd2023e866b81de656406d1,repair,3.1034966,entropy,32,80,8,10,640
,c91caa5c6cb77144718f527455e2d5aae5f0e6eeac033005f736fe778b8bf0f8,repair,2.7450674,entropy,32,80,8,10,640
,7bf22ad3ab8a95b4537f267863e6f2ce0f47c96b3f9881a4bf0d2fd511dfc3a3,repair,3.2093568,entropy,32,80,8,10,640
,9e13fd089119c27af948cc644b6dcd38c025b271ba9ddc69945e2ce2c7022e39,repair,3.3345132,entropy,32,80,8,10,640
,30b13c210de43df567f6463926f5ca86017c265fdc9fea8f3889c204536a2a50,repair,2.6274238,entropy,32,80,8,10,640
,ce699f4f220313968995266c63bd5f9313781fd008effbe87ee439e5cf3439b5,repair,3.0880494,entropy,32,80,8,10,640
,9a76de0243e3cfb18430c9d56ee2aa546e385174b68a06b53be92b945255cfb3,repair,2.7024589,entropy,32,80,8,10,640
,30b98bf2f477b4a5b924341feb1eaaf4c42bff69d7af32d63d557f422c9bd8f9,repair,2.9459357,entropy,32,80,8,10,640
,1c6fef18391acdba865fde8cf8ea57b6182432e6c8e72ef8c6c91ff90ebfe9b6,repair,3.3678217,entropy,32,80,8,10,640
,e0608633a35a782a13f16270609a16b0e03e55142166cf6dc45f2ceb86550196,repair,3.388103,entropy,32,80,8,10,640
,bd2f04e89011d9a806054e9447492b97cfa7e12c8568e57f885aa589980827aa,repair,3.0781069,entropy,32,80,8,10,640
,163bb6bc78dca23d44eed41db5213f227e462e708915f0ec401f8a595f0b3bf7,repair,2.6051354,entropy,32,80,8,10,640
,f059bb4ede8c22ad678b8e6efa58832337bc1d8e176d5b868401f83595ae7f3f,repair,3.472317,entropy,32,80,8,10,640
,c1dbed1eaf8b2fa339c7f65d9611d66e38aca2ce4c2b521f9d729fd3f5a88ab2,repair,3.2550144,entropy,32,80,8,10,640
,3662ffc5e87637cd13a0211ee1f45917f1c94d74e0a6b8258241ab3992d8b524,repair,2.7747626,entropy,32,80,8,10,640
,87ed1d660a90ca9771b65d16a766ad00536cbebcbd3c5b351ab260583189c6d4,repair,3.054174,entropy,32,80,8,10,640
,e74352e53b06b672cba1ab3fe1d1d10b3a281e1592276bebd2c90d17cf987103,repair,2.519917,entropy,32,80,8,10,640
,15af808c6f71fa30df51ea77df187ba0ee714afec5f8225751a3533e2cb90ce1,repair,3.4468434,entropy,32,80,8,10,640
,228a94a0982e4cf8550540171507a6cab0ccf955c2b1fa9eb8ab77c36d282aa0,repair,3.0367775,entropy,32,80,8,10,640
,dd8f106d27559df7fb845ed58b3ae368f5a5875150a7ab9d1b7a2155b69f2b29,repair,3.039006,entropy,32,80,8,10,640
,cff91d8394c5022fc8514346fbc46a0b1f4db0fa35622c412ec9f02ade1265eb,repair,2.5220068,entropy,32,80,8,10,640
,2a52e11bb306f43c81cd3c0449796efab60e85f38b1a6c4f950e486f4ac615ea,repair,2.588742,entropy,32,80,8,10,640
,16ee08b76be07e73bea8f01e4f80f963d2f27d986ceed865188a1a5e4643cf00,repair,2.7985554,entropy,32,80,8,10,640
,b4ad1a1e34782cde5ce6ecc41535c82440d9a406b374669b1e6fc45e9adf7766,repair,3.1186707,entropy,32,80,8,10,640
,41920fa771803afc3fc73da06a453fbfb891dcf0ee3a3f8cd1018441990becdc,repair,2.9083853,entropy,32,80,8,10,640
,daae0a1b0d0aa4a84cb75ce4f2d646fcb449a4e0c421bb5de27d788cf996f6e6,repair,2.659586,entropy,32,80,8,10,640
,fa268530e7f88a0596cdaab14210c9f7c2f208629a12599f47162a1d50d4ce55,repair,3.2242951,entropy,32,80,8,10,640
,533ab2b22f4eeca706b5480e703161908a91a4351346ed423745d53fc64be4c1,repair,3.2542477,entropy,32,80,8,10,640
,dee6d6aff0145dea1ccc47d31666a32ec0253cf4e9dbf3941f279f4241b218e1,repair,3.0225887,entropy,32,80,8,10,640
,092fbc893971dd6b0df96f8cfd40f9441af74930959412d910aa4243abc3e45b,repair,2.7209013,entropy,32,80,8,10,640
,9bbcfe90b849a1124159b63d0fbdca994082870da8258057f4a6667babcc47a0,repair,3.0936446,entropy,32,80,8,10,640
,c4bf6fbb8a642850858721ccc41583ca4374d63d5304628ef6ee348a87548a24,repair,2.6175632,entropy,32,80,8,10,640
,34c520808ea1588980dce97eef83cf968d6aa39e952a5763f8455c61684e0a1c,repair,3.0802386,entropy,32,80,8,10,640
,1094bd10b2be36aadf657b66efb734e6aaadb46759e2139c7486ce9266680007,repair,2.6501122,entropy,32,80,8,10,640
,cc819428c1f2aab5390c2bbc3d2d42d178ca98517dc331e691ff3d2a9a3cafda,repair,3.2119668,entropy,32,80,8,10,640
,12f174ed756570454b208fafd16a13acc10aa6d780d035e9fdc4f15048d79d32,repair,3.0703747,entropy,32,80,8,10,640
,4d90ee65272778b4fc05138c80fd35ee52dc371b30d74baffbb238a26131a1f0,repair,3.2557237,entropy,32,80,8,10,640
,357ecd6782e6a70af46825585d55633434afd30f7ac1e05701325bc55c9b83c7,repair,3.1434474,entropy,32,80,8,10,640
,7c831c010cdbd77e6e8ac92266cc1414586148f101b9ff4957939eac47d7a749,repair,3.0148177,entropy,32,80,8,10,640
,d62c37b35ee1fd5fae1297befef6fc634d394e7ae0cd0d3481a450ef57f1217c,repair,2.5438309,entropy,32,80,8,10,640
,7a704f2ab1651af9e622352fd3e2d527d0f83005eaea5aab8b5c058446ea1dba,repair,3.1568563,entropy,32,80,8,10,640
,57dfd6bdf3d2973c0901864b6578f7ae333cc454ec9bc61cc61d5575ec1479de,repair,3.2411149,entropy,32,80,8,10,640
,071fac0f1169bb8ef1b94437c0eb81449da6463296c6692cfac3b060f157ca03,repair,2.6849601,entropy,32,80,8,10,640
,cd19dcb124bd4a2fff40f1c84cd1c1690b0760073e17f87662358af25787218e,repair,3.0082219,entropy,32,80,8,10,640
,9ca7b3ab36453d67ad785adc607ccab672374de85fc99a820a6e3adbabb9eeed,repair,2.6204705,entropy,32,80,8,10,640
,5604eda37bca8149eb96dd22022ec4d7ffc946cf1bf94a117c6c7ff6e5e51e7d,repair,3.098973,entropy,32,80,8,10,640
,38b22693b4c5df667282c97ef231a2420a543f552fdc0119eddf0b1ec61b7846,repair,3.389973,entropy,32,80,8,10,640
,3bfc9236306258b48ef4b5235792dd3fc8ba726aa68fc14919db9f99b8fe3772,repair,3.2839746,entropy,32,80,8,10,640
,af298016b27126b1c13839bbf82d5634cf161c559d1cfbee1dd5c4b64dce3352,repair,2.572792,entropy,32,80,8,10,640
