comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent,num_participant
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,5a29efd86d904b3ec174753ddf3a0883bdbe9271b1c14b7f44612d9789f3576a,repair,0.02683988,kademlia,32,80,8,10,400,10000
,3455526e254dcb0f974ac621d68455f3444f7cbb2a8774c11bf223262eb0d879,repair,0.027635232,kademlia,32,80,8,10,400,10000
,9371226d2036973b20617f71c07ca1009646753c514e687b39becb1e0e58d1e6,repair,0.020412913,kademlia,32,80,8,10,400,10000
,a805a62118ee2d69bf120013d9a5c3c9970b91508ceb53f587d99eef55828a93,repair,0.024334233,kademlia,32,80,8,10,400,10000
,81ddf0ccbef0a51e54235251aaeae7da81aa9d50ad911081a0302972052cd2b1,repair,0.021126524,kademlia,32,80,8,10,400,10000
,fee627a3eb7f49cd614be433905200ab3c8936ff3ee9b4fdbd1943adaa92d162,repair,0.022493152,kademlia,32,80,8,10,400,10000
,b83eafb8fe01356678d2b01e3643073fbf32d6ff2a35aa45eeac1513c814b4e9,repair,0.026730673,kademlia,32,80,8,10,400,10000
,a37141a11fee574d195dd0851b71961250f21a37d8ca2c6b3b60d7e6758ce2ae,repair,0.021839231,kademlia,32,80,8,10,400,10000
,4278db5e26d25a99d70ecdaf58d4d51f3bb70019b3db4c4f728ead622bebf657,repair,0.021053905,kademlia,32,80,8,10,400,10000
,e656fc508440fb9b30d11146a5bc364be9024deced804764ec249f1829523de0,repair,0.020862373,kademlia,32,80,8,10,400,10000
,c8b57e59bfa37181b8bbe5e1df11bae096085761fb237860860604ea8067eb61,repair,0.024868175,kademlia,32,80,8,10,400,10000
