comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent,num_participant
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,7f1d4d995698979a9fa0a1952b9a587fb7dcc828d6d001bea0c8a9e3fc64f234,repair,0.024334913,kademlia,32,80,8,10,240,10000
,a3c655d6cb184c7fb2662da242f5189b3e0e13359b02d354dc139a7f5acc159f,repair,0.022102892,kademlia,32,80,8,10,240,10000
,5dd5a78069b917c6b45da2fd7cef2a38cecbd5045b37b55087da50941c4160b4,repair,0.0205056,kademlia,32,80,8,10,240,10000
,255385eea6703766bf2332a4464793d47b3b420236920fc523539701f56a9664,repair,0.021412373,kademlia,32,80,8,10,240,10000
,e15ef66d7a7f2420a298d3f6b5b00f07b2552a2530b42331ada9f7de0e049d1d,repair,0.02164506,kademlia,32,80,8,10,240,10000
,9ccedb4461f77d8ef7fb5b01ecc7a674e5cd592abc337becbe7e24926d868ab8,repair,0.020218305,kademlia,32,80,8,10,240,10000
,930dc6cad84596215277970c249db5b2759ac86086c48e5a4f40a02849d0c4b9,repair,0.019022208,kademlia,32,80,8,10,240,10000
,a61fcbd7bb7b6e29a263dcd60f1cd7d36702f164c3e296bdffcda0ceca4085db,repair,0.0206044,kademlia,32,80,8,10,240,10000
,684ece8419a112b065c76436a8285de4b1aa1df79516b67a799d15589138caa4,repair,0.019277897,kademlia,32,80,8,10,240,10000
,aa56371fb69fe59e93d690860f8fbcbe437a70b10e304e47c47938cc34de94f8,repair,0.018896675,kademlia,32,80,8,10,240,10000
,d16368b2ef8fb120b9e89a3831f87fe77d13b91f5ddce181a8ab77256469270e,repair,0.020988865,kademlia,32,80,8,10,240,10000
,2108a3c299fafcd15db3bf3ac1e10930c687e65789eb6fa7f944ee1fc330603f,repair,0.020798087,kademlia,32,80,8,10,240,10000
,d38233c8e46f7427494655c6cd1ae3ff2a22718b3103e0dbde66dedd4d825b17,repair,1.878324,kademlia,32,80,8,10,240,10000
,8e6fb5ea8d2037d77e4b89c7c2803ec62b9e636e18ca4cc7fb4e3675920a9398,repair,1.6287843,kademlia,32,80,8,10,240,10000
,1fb7e0ebef10f3746a48a5d97622ab22ab855ee826083ef736b7b45fc5249434,repair,1.8077886,kademlia,32,80,8,10,240,10000
,cf78eb4d9c0f04d037192d09e9ce95340e0c0b47da8fb3c88dae41dea448aed0,repair,1.7135376,kademlia,32,80,8,10,240,10000
,c383ddf49cbffa1d24e315e30a09fe0bc1b24b34f151a7fa644675316954ea2a,repair,1.7992527,kademlia,32,80,8,10,240,10000
,85494b1ab880ae935387c9d5b8725d57f858bab7b036a995fa7f3f4748fb2a55,repair,2.2547283,kademlia,32,80,8,10,240,10000
,ddcad316ee31fd78ed2e6b0bf11431ef904bf66894099dc6b12bb2a1a6cf3ba4,repair,1.6598809,kademlia,32,80,8,10,240,10000
,912c48a8f8d72b7e590740d098f2313efc98b3db9fbb7b2b36f72548d033fc88,repair,1.9057827,kademlia,32,80,8,10,240,10000
,0348a3f4e64051107db7f13ca9c18baaba2f0be3b28eb5796fef4c80c3231d88,repair,1.8580513,kademlia,32,80,8,10,240,10000
,6308bbb312e0c806d87a887053b60e99bcc32d5d82c4aa5255901318f1af0607,repair,1.7965534,kademlia,32,80,8,10,240,10000
,5bc108d6c326140530a12817a5df51e66ed28fefedd9994e4ccf81b54c7a4df1,repair,2.2825108,kademlia,32,80,8,10,240,10000
,4e813d40bfd033e7e45df44e8efaac7e2af4c3cac29ee943ae4c2b0150bfc1d9,repair,1.8670061,kademlia,32,80,8,10,240,10000
,ddc1ecfdb08d4dd6c50208595a6be0393131bd062f3ad76366e6403710648589,repair,1.9683194,kademlia,32,80,8,10,240,10000
,7ca999b1667b17eff4630d736f46712b3e3fab73856ef2b694cb9e01b5b8c277,repair,1.9128191,kademlia,32,80,8,10,240,10000
,0bff1778b073649f573d3d114b7016e9ba94fe767dc8841b69cbec7e94b8d4d3,repair,1.8094032,kademlia,32,80,8,10,240,10000
,689d738038fb2f44f47b0fdd11be70fc92955b59272bcf9aa65b70055eaa0b01,repair,1.8092786,kademlia,32,80,8,10,240,10000
,45085006fc820df51415633d0d84018490cd6388e25025e9fbe3fd66a9743d52,repair,2.23335,kademlia,32,80,8,10,240,10000
,739ef64e5b8500a1a8664f7ad31ce6301c27b0aea487f4745f7ee5a0028d5711,repair,1.809114,kademlia,32,80,8,10,240,10000
,6b8224557891dc45e0dab18d9c078f1e3c29d436205328361ff411687185881e,repair,1.7640427,kademlia,32,80,8,10,240,10000
,7514a0c0f9fc16108699c6e8dc2c07e0d7796038d14a3aff4fd94983fee46e98,repair,1.8951812,kademlia,32,80,8,10,240,10000
,f802db31c60435fd373c6c8a990817ce38fb0e7ba991515b65a2b4c014e26062,repair,2.4416463,kademlia,32,80,8,10,240,10000
,7eecb0196db702066a4bdb838707b39dec61de5e2fcdc638989b04ebc7d924a5,repair,1.7020414,kademlia,32,80,8,10,240,10000
,78af1926bed9dbc3fb2dde48a5719f24e138d6711df86c465e058a8b50898101,repair,1.8632503,kademlia,32,80,8,10,240,10000
,f4da88ea3777fd705e9e154b0bacb9160eae46ddaf7053cc6c25a77cd81dca04,repair,1.7535112,kademlia,32,80,8,10,240,10000
,d2835ffe34f6b47c2ac6204a3699b8d98d76fb948f00f516ebc787ce79bc8f5a,repair,1.9750328,kademlia,32,80,8,10,240,10000
,1ce4d166db7b0b34380ff568c0783f322a6a55a613de2c2e4861fba3c5dfd601,repair,1.9065785,kademlia,32,80,8,10,240,10000
,2f0dbca94dbaeb324b94c2380508f7cd05891740ebb0f64625ebeecfdfa6720f,repair,1.7526715,kademlia,32,80,8,10,240,10000
,c5394addd89348fb4cd27a912bf608787a8ce8a15506712531fe416225061852,repair,1.9245517,kademlia,32,80,8,10,240,10000
,a36bbe9efb9bbec3afc59697e2674e2873f059e22d2d8b74bfaafab4c0be3466,repair,1.9000161,kademlia,32,80,8,10,240,10000
,fcf430638daab7d100ca6cdda49dd132f95a847c449a097ca2f29c7e18ae1186,repair,1.8672035,kademlia,32,80,8,10,240,10000
,22b12de1be909e04fc375e34046d613b77da5e0c5971e20bc146baec1be37785,repair,1.9813306,kademlia,32,80,8,10,240,10000
,cb5dfb7fd55a2cd62c2779f070f0dc49aaedc0e2273d4a291bca7e56d1fc991e,repair,1.8757334,kademlia,32,80,8,10,240,10000
,0332252b2e7fe1f4c5f26cdae8d675bca91f469a33df0e03d18110b4105e1f70,repair,1.7629621,kademlia,32,80,8,10,240,10000
,e618c6de9d0fba87c596ad4393182844fa07051eeba6deb7cbd4b790c28af72e,repair,2.0482905,kademlia,32,80,8,10,240,10000
,a93ca579775b07a8f17a909c14f7a1ee7fd8a83714c3979decf58d7fe698a7fb,repair,1.9072456,kademlia,32,80,8,10,240,10000
,b29409fe0c92ff9a0406af5bbcaaed2e62279c6afb4fcc51df607603fdbd439a,repair,2.0642953,kademlia,32,80,8,10,240,10000
,f96bd9a851ba131e927aa2e7b525d86292b692dc3ae52546a91b39437632e084,repair,2.2914681,kademlia,32,80,8,10,240,10000
,1a587feed3438e2b1a14b57d3191447a49cea8320092be8941f89e226534c740,repair,2.223145,kademlia,32,80,8,10,240,10000
,026bf8decb85a6beb01e6f4e39248150f44fbc22b16ffd8255456a184d870a2c,repair,2.2454343,kademlia,32,80,8,10,240,10000
