comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,60568a5e52ea80add6c98c60a4cc22b3913b407d5876d76f3c51d4fda613d6f5,repair,0.020851063,kademlia,32,80,8,10,320
,45b1e1b5fc1a1f6b8b67a21a8106423ba3963768a4d98bb2b707ee0e432c7e90,repair,0.024160257,kademlia,32,80,8,10,320
,a27a4dc514529fc65b32fe149a16a0fad04aba0ada0825a2c9cdae88f18717dc,repair,0.026609104,kademlia,32,80,8,10,320
,90f5b48c5620b5f8120e4810824ee98f78c10e41fe64511cd1b9fff73e2d72fd,repair,0.021473765,kademlia,32,80,8,10,320
,3d41beb8272dd3e16473338e35f8be276a9daa3e2dd0a96d2b0ce70ebe4dd196,repair,0.025034916,kademlia,32,80,8,10,320
,8f215a4c30966ba83b8275ac7e14e77a2469456e9a3721ae90aee35758d44635,repair,0.025068596,kademlia,32,80,8,10,320
,5a76ddad277e25353e764346edc6c7038163faaa5ca5e25fcbe6a13938f45a50,repair,0.022701325,kademlia,32,80,8,10,320
,b4be79af38d69f6948994a2349c66977bce75b3991737fb7efa3cc115ef2b135,repair,0.023409717,kademlia,32,80,8,10,320
,dad02c61b1761760ec197ab1e42e5fc62888f2d3d94bfb943de68823c89b225f,repair,0.024768323,kademlia,32,80,8,10,320
,2f25d446427527547d8ab53e60099e56359074509ee1eccac1261fbbf404139c,repair,0.020859629,kademlia,32,80,8,10,320
,ad534c5a819ac33b645b98e7683fc0314c63a1ef1a0bf5a66daf4acae1b669e0,repair,0.023234388,kademlia,32,80,8,10,320
