comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent,num_participant
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,ac3d3a1aec0d040ec459cf9ef9bce5220918894486c2462adc0691b2214f7712,repair,2.6853266,entropy,32,80,8,10,560,10000
,54ade133acfc7852f0cc7fd92537813e150b9221cab594e2268ace41f3940752,repair,2.5552154,entropy,32,80,8,10,560,10000
,dce388361a0557ea25b9413465e40ef6f35acb6382b5221be0563d35b4724c54,repair,2.6070333,entropy,32,80,8,10,560,10000
,3c0653fcd257232b5d2df3b319b93c48c8e421ac157e09a448536c3129d3245f,repair,2.5100238,entropy,32,80,8,10,560,10000
,e18b68bab148acb96666610577fe80fd5db2129820483b310818f1c0e88ac8f8,repair,2.5858953,entropy,32,80,8,10,560,10000
,0c76cd60bee7983af5a2b8e08a928fcc9617f9914cb24b40e58eda084dbdb512,repair,2.5589228,entropy,32,80,8,10,560,10000
,e6c2cbfd74013fc06d23f4e00118045e97a589812f4d5ea8cd9afb133f369553,repair,2.9401622,entropy,32,80,8,10,560,10000
,83a6cffc20b180ffc2dd3ff975bd8396f0673f5bb2d43c541a136c7229a559de,repair,2.44083,entropy,32,80,8,10,560,10000
,ceb410c05e36e166a2f68814db4875f576316ef672a7bbda91bee5ecffcd75d1,repair,2.893711,entropy,32,80,8,10,560,10000
,daae47fde62a6fed9946ae4e1c9deb78d027dabd4373f0f9ff8f7323204cb077,repair,2.588714,entropy,32,80,8,10,560,10000
,22e9e71d1286eff4f32e710071de95330b2735c344405aeb9f56ec4fe947b89e,repair,2.6567762,entropy,32,80,8,10,560,10000
