comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent,num_participant
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,92a08e9435594e84883f6ba23e0fd43ce0ffeaafd1f99d88f71bd985c8a1f6fb,repair,2.552853,entropy,32,80,8,10,240,10000
,a28fc720fc742623007ccd2605d7f9686a5d6ecbc0646e7bbb02a9e981ee8fba,repair,2.651085,entropy,32,80,8,10,240,10000
,29f9d109f89179f6589f5ef898a2ba23fea5cd77c7a2d08b1ddcc0bcc99d286f,repair,2.8748071,entropy,32,80,8,10,240,10000
,fb2e294b5ba02e0ce70144388b89ba5bc73f7c5e6134c8e49770bf70cac8359b,repair,2.8521342,entropy,32,80,8,10,240,10000
,d7df1891bb402c920c9f64ec17d968c61e0c2cae5ce17aa9e2c73c8584258d05,repair,2.8622677,entropy,32,80,8,10,240,10000
,c1e3d7c0346e20cd0af6142a7016e2af44f126e831163e037496c7306c71b76c,repair,2.4237177,entropy,32,80,8,10,240,10000
,a5acc1ef7ebe17e1eea7a3761062ac3eaffbccd2ab6248507adba0736b0e3727,repair,2.4431145,entropy,32,80,8,10,240,10000
,60e434621bc5676c04ab36288d9e770be589bf30f0d6773f4c288b0019004c3a,repair,2.8992853,entropy,32,80,8,10,240,10000
,70b0369c81f84c334acf646953ec29369ee652c4396d0884731173b4fdf2cb52,repair,2.5814247,entropy,32,80,8,10,240,10000
,9200d3f518157fd84f7745e10de0a030e9a102f36623754849f05ca34bbc8f61,repair,2.4931781,entropy,32,80,8,10,240,10000
,04434e0e03763ae2f5340c1db62f82c8d22646e51c5eb87f4050bad8cf15f6b7,repair,3.0426824,entropy,32,80,8,10,240,10000
