comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent,num_participant
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,e75bee127bd9f3201cfd7acf12fe54041513839dcfbc5991a6629b4e63b85aaa,repair,2.5435038,entropy,32,80,8,10,400,10000
,c7d65c8ca30730a5e01441928666555cc50d579d0522550dac027bf1fc91cbca,repair,2.551808,entropy,32,80,8,10,400,10000
,a4d59dfa3ad64879b0cd54ed8104f0766c66adacb8d2e333bc36de8a8af1c8d4,repair,2.4547439,entropy,32,80,8,10,400,10000
,6834bfddbd25f1b3aa055fae6d0970b1324b2cc8fa1c43f1c9f355f1215f14c0,repair,2.5708437,entropy,32,80,8,10,400,10000
,52069138636974839d9dd8fe26265a954532bc4b93f2c7d566d09150e48f6558,repair,2.4682572,entropy,32,80,8,10,400,10000
,f073fe4ce5c56c77eaa4cace2b6f364c21ddab08e42de0741c689f3fd4705dc0,repair,2.7911944,entropy,32,80,8,10,400,10000
,9306223ce6335864b7bc565fedd10581b5622c2e82a2b40a3e32537477260a94,repair,2.5748825,entropy,32,80,8,10,400,10000
,c7792f2a700ba8c314a57041afe57f0302fc0a9c2249d6f6ddf1dfe8b7b86f2d,repair,2.6687975,entropy,32,80,8,10,400,10000
,876bdb9a5d0946dbc31ed744af7cdec235958622bd941c6d05aaa61161ad8ef7,repair,2.4188457,entropy,32,80,8,10,400,10000
,4d8b4f10f9a40ef388c0fa589fea0fb66ef37df4c396e58a6a4b664099e106ea,repair,2.5265005,entropy,32,80,8,10,400,10000
,36afd4acede7315da50f7267cf3d37e8f2423b8a484813730763856b8da1e8ef,repair,3.0521991,entropy,32,80,8,10,400,10000
