comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,528ab110f9f01ab275535729ff0b727ef6a7b13ecbc79539be25e77041689331,repair,2.4870327,entropy,32,80,8,10,160
,235f1139fd432925112042da6958b55379c1a0757aad865070bfb1f8d0473da0,repair,2.3913093,entropy,32,80,8,10,160
,b564f93741c0fbf9a5b79e39d3a01fb6ebe7a923332d36505228f4d87079b9bc,repair,2.596534,entropy,32,80,8,10,160
,9096321b4dec73bc9f31fd6a713a9fdac2e9def17207331812c8fbd362248d1f,repair,2.9363484,entropy,32,80,8,10,160
,ba69ea947d056dd48136f8eeee420d5383edeb97f6cd350021d2358a82dff90c,repair,2.3885589,entropy,32,80,8,10,160
,de075a2b15a9ecbebb88859d90fb7b3e92f7bb4601ead8cec5dfa4f7982a6214,repair,2.947422,entropy,32,80,8,10,160
,16e1fd1edf37e4bcfd07c49b41eaaeadc06a8b8a30cebadc69bdbd5785c1bdd2,repair,2.8104112,entropy,32,80,8,10,160
,39b96b8e6d19d7a9cccd4e975e8e9464ae4e398fba843793942fb16c96afd744,repair,2.4686441,entropy,32,80,8,10,160
,b52b3502ae1de11e4c2a1732e64b75cc8e26b7e5da7fa4dbe51fe50f59704a5e,repair,2.8508263,entropy,32,80,8,10,160
,5a6760f41f8de249b90b9adac341b992b5a2fd2cb9c157c72ddd621caaacb538,repair,2.3710947,entropy,32,80,8,10,160
,96670e525d244f1e0786dcfd8d880e6f9a24cbe1dbc516f4c5b5d94214c337a7,repair,2.3243246,entropy,32,80,8,10,160
