comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,a9949f638806c42308cbd6c1d6266283a22de173309430780a6dd9d4f7a4d9e6,repair,0.025907949,kademlia,32,80,8,10,480
,b71fc1d4d3259927d9158b6dc180254947827b67366515079ea784f454bda44c,repair,0.023551557,kademlia,32,80,8,10,480
,945390700622ead3e45d6dd7c96f1a7c02559ad3d6bc0a08d3cc2eb32410dfd1,repair,0.022685096,kademlia,32,80,8,10,480
,11c5de2e90ef488decda6c2b5f1398caab14ad3fdc81af74890c583f0ea64be8,repair,0.026501454,kademlia,32,80,8,10,480
,98b00a1602712b70adc724dff4c5789b6f07e6ae45fe505f400408d5721d6b7a,repair,0.0217602,kademlia,32,80,8,10,480
,7860eddef64b70c6877c7a298a2d18fadb863685914b0bda02e5e1cfe0d5810f,repair,0.022998003,kademlia,32,80,8,10,480
,75d8b162428f3f3c11014b2ddb79bf66a1f9f3fc610999f338e332923695b7ed,repair,0.021686211,kademlia,32,80,8,10,480
,42b91d40f8ba88a5abdde52b36eda66b33e788fb8d83d5dbb9287b36a564fd05,repair,0.021983285,kademlia,32,80,8,10,480
,8498544d1ec733868e885a7a1704d1d982c4df6ccb496a166919853559220d17,repair,0.025839496,kademlia,32,80,8,10,480
,2aec15419834d25d3264de7a22cca03b127fc0581bca7c50edb9cccaeb02ce43,repair,0.034678657,kademlia,32,80,8,10,480
,2aed9a34deafb2b58f9bfed6f779ec1730f9899f56c7a471637bb0808897e299,repair,0.038092293,kademlia,32,80,8,10,480
,ab60b7dcf68780d12a869233615fc0ceafee3030245c36d1f76f03382922b3d1,repair,0.020944044,kademlia,32,80,8,10,480
