comment,key,operation,latency,protocol,inner_k,inner_n,outer_k,outer_n,num_concurrent
++ python3 scripts/common.py SERVICE_HOST
+ SERVICE=ec2-16-162-3-6.ap-east-1.compute.amazonaws.com
++ python3 scripts/common.py WORK_DIR
+ WORK_DIR=/home/ubuntu
+ cargo build --profile artifact --bin entropy --color never
    Finished artifact [optimized] target(s) in 0.11s
+ rsync target/artifact/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com:/home/ubuntu/entropy
++ python3 scripts/common.py NUM_TOTAL_PEER
+ ssh ec2-16-162-3-6.ap-east-1.compute.amazonaws.com OTEL_SDK_DISABLED=true /home/ubuntu/entropy ec2-16-162-3-6.ap-east-1.compute.amazonaws.com --plaza-service 10000
ready
,b4090e804cb079b0330616c7d8882b951b62a17ecc8cd86361123e2ca366082b,repair,2.47359,entropy,32,80,8,10,320
,2f9fa5ca017330e69b9c31c5b8eb266ee3859d65c8fb73cc0555399b80387845,repair,2.5421677,entropy,32,80,8,10,320
,b17c0f0c3657fedd191a38c1819ad665a130f9a8aaeaad296504bc708b57f462,repair,2.5728426,entropy,32,80,8,10,320
,0d30d4f460c1aa4308274b2bbf723259e7f545d96716de5b1fdcb9a11ac23428,repair,2.7291245,entropy,32,80,8,10,320
,f26f26c24ee3c5fffa89abeb2b50ab50500b1f6b57a5bd6153510600cb3db75c,repair,2.4734375,entropy,32,80,8,10,320
,37e7116c7e00643260c6cae35f91a7c40d3404703059b779dcbd33cdba69b57c,repair,2.4657104,entropy,32,80,8,10,320
,8412483c22d1918493344d0c35de746515e4aaa511e89c3ad2d2436c81488d7e,repair,2.457519,entropy,32,80,8,10,320
,651a9f521fff5bee7cade83bd4216e28e904150431e9ed4b8c7fdeed4f1bc1b4,repair,2.7543526,entropy,32,80,8,10,320
,fae14f125fb03d29c51e041cf7757e856d91ab153b183290eef166d6fef86e93,repair,2.372213,entropy,32,80,8,10,320
,3b42c18b485b55cd5ad0ec83e187a30ea4c1937724079a81bc9d3ca7b4147055,repair,2.8252404,entropy,32,80,8,10,320
,7fbc399a7a0d0bb84af5098d285809411f1ec9a9e45384c6a2bdf98ba6df2dc3,repair,2.4474692,entropy,32,80,8,10,320
,f34ced8efd67ea6652c6fbad15d8b4977984a95e005fc671fbb87295f69db1fe,repair,3.046463,entropy,32,80,8,10,320
